product_id,product_name,region,shipping_date,country,city,subcategory,customer_id,customer_name,province,category,customer_type,row_id,shipping_standard,shipping_status,order_id,order_date,profit,days_before_shipping_actual,days_before_shipping_planned,discount,amount,sales,predicted_sales
办公用-Supplies-10002717,"Fiskars 剪刀, 蓝色",E,2022/4/29,中国,杭州,Supplies,曾惠-14485,曾惠,浙江,Office Supplies,Business,1,二级,提前装运,US-2022-1357144,2022/4/27,-61,2,￥3,40%,2,130,￥194
办公用-Envelope-10004832,"GlobeWeis 搭扣Envelope, 红色",SW,2022/6/19,中国,内江,Envelope,许安-10165,许安,四川,Office Supplies,Consumer,2,标准级,提前装运,CN-2022-1973789,2022/6/15,43,4,￥6,0%,2,125,￥188
办公用-装订-10001505,"Cardinal 孔加固材料, 回收",SW,2022/6/19,中国,内江,Binding Machine,许安-10165,许安,四川,Office Supplies,Consumer,3,标准级,提前装运,CN-2022-1973789,2022/6/15,4,4,￥6,40%,2,32,￥48
办公用-Supplies-10003746,"Kleencut 开信刀, 工业",E,2022/12/13,中国,镇江,Supplies,宋良-17170,宋良,江苏,Office Supplies,Business,4,标准级,提前装运,US-2022-3017568,2022/12/9,-27,4,￥6,40%,4,321,￥481
办公用-Tool-10003452,"KitchenAid 搅拌机, 黑色",S,2021/6/2,中国,汕头,Tool,万兰-15730,万兰,广东,Office Supplies,Consumer,5,二级,提前装运,CN-2021-2975416,2021/5/31,550,2,￥3,0%,3,1376,"￥2,061"
技术-Equipment-10001640,"柯尼卡 打印机, 红色",E,2020/10/31,中国,景德镇,Equipment,俞明-18325,俞明,江西,Technology,Consumer,6,标准级,提前装运,CN-2020-4497736,2020/10/27,3784,4,￥6,0%,9,11130,"￥16,668"
办公用-装订-10001029,"Ibico 订书机, 实惠",E,2020/10/31,中国,景德镇,Binding Machine,俞明-18325,俞明,江西,Office Supplies,Consumer,7,标准级,提前装运,CN-2020-4497736,2020/10/27,173,4,￥6,0%,2,480,￥719
家具-Chair-10000578,"SAFCO 扶手椅, 可调",E,2020/10/31,中国,景德镇,Chair,俞明-18325,俞明,江西,Furniture,Consumer,8,标准级,提前装运,CN-2020-4497736,2020/10/27,2684,4,￥6,0%,4,8660,"￥12,969"
办公用-Paper-10001629,"Green Bar 计划信息表, 多色",E,2020/10/31,中国,景德镇,Paper,俞明-18325,俞明,江西,Office Supplies,Consumer,9,标准级,提前装运,CN-2020-4497736,2020/10/27,47,4,￥6,0%,5,588,￥881
办公用-系固-10004801,"Stockwell 橡皮筋, 整包",E,2020/10/31,中国,景德镇,Fastener,俞明-18325,俞明,江西,Office Supplies,Consumer,10,标准级,提前装运,CN-2020-4497736,2020/10/27,34,4,￥6,0%,2,154,￥231
